Entry ID,Content ID,Datetime,Content Type,Category,Reaction Type,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/7/2020 9:43:50,Photo,Studying,Disgust,Negative,0.00
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,6/17/2021 12:22:51,Photo,Studying,Dislike,Negative,10.00
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/18/2021 5:13:58,Photo,Studying,Scared,Negative,15.00
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,1/6/2021 19:13:01,Photo,Studying,Disgust,Negative,0.00
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,8/23/2020 12:25:58,Photo,Studying,Interested,Positive,30.00
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,12/7/2020 6:27:54,Photo,Studying,Peeking,Neutral,35.00
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/11/2021 17:35:49,Photo,Studying,Cherish,Positive,70.00
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,1/27/2021 8:32:09,Photo,Studying,Hate,Negative,5.00
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/1/2021 22:54:23,Photo,Studying,Peeking,Neutral,35.00
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,8/4/2020 5:05:02,Photo,Studying,Love,Positive,65.00
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/7/2020 8:36:27,Photo,Studying,Indifferent,Neutral,20.00
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/2/2020 6:28:53,Photo,Studying,Scared,Negative,15.00
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/1/2020 1:16:21,Photo,Studying,Interested,Positive,30.00
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,10/7/2020 18:39:08,Photo,Studying,Hate,Negative,5.00
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,9/3/2020 18:51:38,Photo,Studying,Scared,Negative,15.00
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,2/24/2021 5:09:23,Photo,Studying,Super Love,Positive,75.00
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,9/23/2020 6:24:11,Photo,Studying,Peeking,Neutral,35.00
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,2/24/2021 11:37:57,Photo,Studying,Indifferent,Neutral,20.00
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,5/22/2021 19:44:23,Photo,Studying,Interested,Positive,30.00
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,1/31/2021 16:03:56,Photo,Studying,Intrigued,Positive,45.00
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/20/2020 17:26:23,Photo,Studying,Peeking,Neutral,35.00
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/11/2021 20:47:13,Photo,Studying,Worried,Negative,12.00
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,6/13/2021 16:46:06,Photo,Studying,Like,Positive,50.00
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/11/2021 14:29:59,Photo,Studying,Heart,Positive,60.00
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,3/2/2021 19:21:19,Photo,Studying,Worried,Negative,12.00
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,6/27/2020 18:44:39,Photo,Studying,Hate,Negative,5.00
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,5/9/2021 21:05:17,Photo,Studying,Hate,Negative,5.00
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,8/4/2020 23:58:42,Photo,Studying,Cherish,Positive,70.00
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,8/28/2020 3:57:20,Photo,Studying,Super Love,Positive,75.00
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,8/25/2020 8:21:56,Photo,Studying,Intrigued,Positive,45.00
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/20/2021 23:48:12,Photo,Studying,Scared,Negative,15.00
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,3/7/2021 12:40:11,Photo,Studying,Interested,Positive,30.00
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,5/24/2021 3:21:13,Photo,Studying,Indifferent,Neutral,20.00
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,1/24/2021 11:03:43,Photo,Studying,Super Love,Positive,75.00
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,4/9/2021 2:46:20,Photo,Studying,Disgust,Negative,0.00
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,2/2/2021 3:43:43,Photo,Studying,Super Love,Positive,75.00
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,2/4/2021 3:06:12,Photo,Studying,Interested,Positive,30.00
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/9/2020 2:49:59,Photo,Studying,Dislike,Negative,10.00
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,9/29/2020 16:00:27,Photo,Studying,Scared,Negative,15.00
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,11/29/2020 21:33:04,Photo,Studying,Dislike,Negative,10.00
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,2/13/2021 7:54:01,Photo,Studying,Want,Positive,70.00
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,7/14/2020 5:28:44,Photo,Studying,Interested,Positive,30.00
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,8/23/2020 10:30:37,Photo,Studying,Indifferent,Neutral,20.00
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,5/10/2021 9:27:42,Photo,Studying,Worried,Negative,12.00
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,3/15/2021 3:59:11,Photo,Studying,Hate,Negative,5.00
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,6/25/2020 17:01:58,Photo,Healthy Eating,Dislike,Negative,10.00
